t u u_err g g_err r r_err i i_err z z_err Y Y_err
30.303030303030305 28.927952428433084 0.1742180766837035 27.099537328354497 0.09601350380032597 26.085818838427937 0.07359532056529691 25.99344857592587 0.062372231488792056 26.635300117373593 0.06676504574911207 26.358836877932845 0.07819629386448206
31.313131313131315 28.999112644292428 0.18842704678920522 27.178102560836713 0.12450993643971682 26.13717899318274 0.10044609857119242 26.038545874444242 0.08532450805353452 26.688691235731074 0.08907761006294576 26.37340792795466 0.09297650885454291
32.323232323232325 29.069641267522627 0.20521677530279941 27.255973211616414 0.15354186611528248 26.188602080422445 0.12687837923452502 26.083654627683114 0.10791010222781196 26.74181602498846 0.11146534294670758 26.38858484880724 0.10848032726486248
33.333333333333336 29.139609513948248 0.22333442842440526 27.333228028219807 0.18184236960013592 26.24013839256746 0.15195594857760109 26.128819099660195 0.12934573221585408 26.79472751606565 0.1330067476505176 26.40438059937273 0.12370507342537343
34.343434343434346 29.209088763662383 0.241702985655612 27.409945948050915 0.2086018606508226 26.291839342796173 0.1750660994280685 26.174084454116954 0.14911449816995936 26.847479265226198 0.15311536093481637 26.420809590770805 0.13801437276663447
35.35353535353536 29.27815061929126 0.2594796014732293 27.486206162864107 0.23327333767829683 26.343757506649567 0.19579731114110785 26.219496791098404 0.16686670246849206 26.90012539766077 0.1713974007591205 26.437887697589893 0.15101723069352027
36.36363636363637 29.34686696466678 0.27604033191182387 27.56208818369562 0.25548429157695124 26.39594666489385 0.2138873858120332 26.26510318456009 0.1823773607778148 26.952720651765286 0.18759144897346655 26.455632270569403 0.16249548269356895
37.37373737373738 29.415310023948596 0.2909442711810964 27.637671906298976 0.27499132200171345 26.44846184767487 0.22919658145836863 26.310951721024622 0.19552390617429183 27.00532042414302 0.20153798419545413 26.474062150739943 0.1723627941970776
38.38383838383839 29.483552421240343 0.30389808827803316 27.713037677136853 0.2916533857242715 26.501359379995233 0.24169128021489658 26.357091539320813 0.2062724512632511 27.05798081536602 0.213161343070158 26.49319768503347 0.18064081247288785
39.3939393939394 29.55166724074343 0.3147262690614179 27.78826635997416 0.3054134477822507 26.554696928547774 0.2514319889503295 26.4035728714305 0.21466757903646186 27.110758676528906 0.22245698978468398 26.513060743372833 0.1874435750915408
40.40404040404041 29.619728087494494 0.3233465077359131 27.86343940312633 0.31628336338484403 26.60853354994267 0.25856190081253055 26.45044708447893 0.22082257990106238 27.163711656630994 0.22948035176136367 26.533674737256824 0.19296440104222448
41.41414141414142 29.687809148730146 0.3297479316453276 27.938638907408226 0.3243286776001862 26.662929740360358 0.2632927219122513 26.49776672389385 0.22490743115150078 27.21689825081961 0.23433453458962547 26.55506463985166 0.19746079425494822
